115,Esc. Est. Prof. Ulisses de G?is,Escola Estadual,-5.78145786905686,-35.2068335154539
116,Esc. Est. Winston Churchill,Escola Estadual,-5.78361269703328,-35.2061834965804
117,Unidade Educacional Infantil,Escola Federal,-5.78133658121417,-35.1979941526465
118,Esc. Est. Augusto Severo,Escola Estadual,-5.78563860857604,-35.2011910078248
119,Esc. Est. Prof. An?sio Teixeira,Escola Estadual,-5.78523743295673,-35.2007220518404
120,Col. Est. Atheneu Norte Riograndense,Escola Estadual,-5.78434291139142,-35.1980986689393
121,Esc. Est. Alberto Torres,Escola Estadual,-5.78427316744287,-35.1957485593122
122,Centro de Ens. de Jovens e Adultos CEJA Prof?. Felipe Guerra,Escola Estadual,-5.78486523395924,-35.2015774705747
123,Esc. Mun. 4? Centen?rio,Escola Municipal,-5.78226147728528,-35.2009886301363
124,Esc. Est. Sen. Dinarte Mariz,Escola Estadual,-5.79650659298856,-35.1858548240806
125,Esc. Mun. Prof. Ant?nio Campos e Silva,Escola Municipal,-5.79997160943246,-35.1833369844282
126,Esc. Est. Prof?. Stela Gon?alves,Escola Estadual,-5.79409244220867,-35.2228299539382
127,Esc. Est. Calazans Pinheiro,Escola Estadual,-5.79326505216499,-35.2167593180222
128,Inst. Padre Miguelinho,Escola Estadual,-5.79356020193261,-35.214469606858
129,Esc. Est. Alm. Newton Braga Faria,Escola Estadual,-5.79490644162545,-35.2123113500062
130,Esc. Est. Prof. Amphil?quio C?mara,Escola Estadual,-5.79779546540525,-35.2181898515235
131,Esc. Est. Prof. Jo?o Tib?rcio,Escola Estadual,-5.79803725608886,-35.2174699511228
132,Instituto Ary Parreiras,Escola Estadual,-5.80019346822701,-35.2194846376498
133,Esc. Mun. Juvenal Lamartine,Escola Municipal,-5.80858926277742,-35.2149128363952
134,Esc. Mun. Jo?o XXIII,Escola Municipal,-5.80391771622101,-35.2240560650199
135,Esc. Mun. Monsenhor Joaquim Hon?rio,Escola Municipal,-5.80411842469728,-35.2243507987271
136,Prof?. Darilene Brand?o Martins,CMEI,-5.79388191433924,-35.2230373217463
137,Esc. Est. Tiradentes,Escola Estadual,-5.80308957213639,-35.2086886352472
138,Esc. Est. Jer?nimo Gueiros,Escola Estadual,-5.79767327451748,-35.2100320187516
139,Prof?. Maria de Jesus Queiroz da Costa Ferreira,CMEI,-5.79967958366485,-35.2083165564741
140,Prof?. Clara Camar?o,CMEI,-5.79532640109866,-35.2094814578091
